,comments
1267,"PRESMOLT REITH BRIDGE RELEASE;ASSOC 090433,090434,090435; C012         ENGELKING"
1268,"PRESMOLT RELEASE REITH BRIDGE;ASSOC 090436,090434,090433; C012         ENGELKING"
1269,"PRESMOLT RELEASE REITH BRIDGE;ASSOC 090436,090435,090433; C012         ENGELKING"
1270,"PRESMOLT RELEASE REITH BRIDGE;ASSOC 090436,090435,090434; C012         ENGELKING"
1271,"PRESMOLT RELEASE;FLR 138645,154554,PIT TAG 5927 FISH,LOOKOUT PT.RES.PRELIMINARY"
1272,"Presmolts look great prior to release, FLR  164661"
1273,Pro CFJ01 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1274,PRO CFJ01 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1275,PRO CFJ01 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1276,PRO CFJ02 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
1277,PRO CFJ02 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1278,PRO CFJ03 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1279,Pro CFJ04 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
1280,PRO CFJ04 LeftEye Red + CWT in Snout or CWT in snout + PIT tag
1281,PRO CFJ04 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1282,Pro CFJ05 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1283,PRO CFJ05 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1284,PRO CFJ05 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1285,PRO CFJ06 LeftEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1286,PRO CFJ06 RightEye Red + CWT in Posterior Dorsa or CWT in snout + PIT tag
1287,PRO CFJ06 RightEye Red + CWT in Snout or CWT in snout + PIT tag
1288,Pro ESJ01 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
1289,PRO ESJ01 RightEye Green + CWT in Snout or CWT in snout + PIT tag
1290,PRO ESJ02 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
